predicted_causeid,code,short_desc,long_desc,major,three_digit
neo,I694,"SEQ. D'ACCID. VASC. CEREB., NON PREC. PAR HEMORR. OU PAR INFARCTUS","Séquelles d'accident vasculaire cérébral, non précisé comme étant hémorragique ou par infarctus",Séquelles de maladies cérébrovasculaires,I69
neo,I698,"SEQ. DE MAL. CEREBROVASC., NCA OU SAI","Séquelles de maladies cérébrovasculaires, autres et non précisées",Séquelles de maladies cérébrovasculaires,I69
neo,I700,ATHEROSCLEROSE DE L'AORT.,Athérosclérose de l'aorte,Athérosclérose,I70
neo,I701,ATHEROSCLEROSE DE L'ART. RENALE,Athérosclérose de l'artère rénale,Athérosclérose,I70
neo,I709,ATHEROSCLEROSE GENERALISEE OU SAI,Athérosclérose généralisée et sans précision,Athérosclérose,I70
neo,I710,DISSECTION DE L'AORT.,Dissection de l'aorte [toute localisation],Anévrisme aortique et dissection,I71
neo,I720,ANEVRISME ET DISSECTION DE L'ART. CAROTIDE,Anévrisme et dissection de l'artère carotide,Autres anévrismes et dissections,I72
otherncd,I730,SYND. DE RAYNAUD,Syndrome de Raynaud,Autres maladies vasculaires périphériques,I73
neo,I740,EMBOLIE ET THROMBOSE DE L'AORT. ABDO.,Embolie et thrombose de l'aorte abdominale,Embolie et thrombose artérielles,I74
neo,I741,"EMBOLIE ET THROMBOSE DE PARTIES DE L'AORT., NCA OU SAI","Embolie et thrombose de parties de l'aorte, autres et non précisées",Embolie et thrombose artérielles,I74
neo,I743,EMBOLIE ET THROMBOSE DES ART. DES MB. INF.,Embolie et thrombose des artères des membres inférieurs,Embolie et thrombose artérielles,I74
neo,I744,"EMBOLIE ET THROMBOSE DES ART. DISTALES, SAI","Embolie et thrombose des artères distales, sans précision",Embolie et thrombose artérielles,I74
neo,I745,EMBOLIE ET THROMBOSE DE L'ART. ILIAQUE,Embolie et thrombose de l'artère iliaque,Embolie et thrombose artérielles,I74
neo,I748,EMBOLIE ET THROMBOSE D'AUTRES ART.,Embolie et thrombose d'autres artères,Embolie et thrombose artérielles,I74
neo,I749,EMBOLIE ET THROMBOSE D'ART. SAI,Embolie et thrombose d'artères non précisées,Embolie et thrombose artérielles,I74
neo,I770,"FISTULE ARTERIOVEINEUSE, ACQUISE","Fistule artérioveineuse, acquise",Autres atteintes des artères et artérioles,I77
otherncd,I820,SYND. DE BUDD-CHIARI,Syndrome de Budd-Chiari,Autres embolies et thromboses veineuses,I82
neo,I830,VARICES ULCEREES,Varices ulcérées (des membres inférieurs),Varices des membres inférieurs,I83
neo,I850,VARICES OESOPHAGIENNES HEMORR.,Varices oesophagiennes hémorragiques,Varices oesophagiennes,I85
neo,I890,"LYMPHOEDEME, NCA","Lymphoedème, non classé ailleurs",Autres atteintes non infectieuses des vaisseaux et des ganglions lymphatiques,I89
neo,I951,HYPOTENSION ORTHOSTATIQUE,Hypotension orthostatique,Hypotension,I95
neo,I959,"HYPOTENSION, SAI","Hypotension, sans précision",Hypotension,I95
neo,J029,"PHARYNGITE, SAI","Pharyngite (aiguë), sans précision",Pharyngite aiguë,J02
neo,J040,LARYNGITE AIG. OU SAI,Laryngite (aiguë),Laryngite et trachéite aiguës,J04
neo,J069,"INFECT. DES VOIES RESP. SUP., SAI","Infection des voies respiratoires supérieures, sans précision","Infections aiguës des voies respiratoires supérieures, à localisations multiples et non précisées",J06
neo,J100,"GRIPPE AVEC PNEUMOPATHIE, VIRUS GRIPPAL SAISONNIER IDENTIFIÉ","Grippe avec pneumopathie, virus grippal saisonnier identifié","Grippe, à virus grippal saisonnier identifié",J10
neo,J110,"GRIPPE AVEC PNEUMOPATHIE, VIRUS NON IDENTIFIE","Grippe avec pneumopathie, virus non identifié","Grippe, virus non identifié",J11
neo,J120,PNEUMOPATHIE ADENOVIRALE,Pneumopathie adénovirale,"Pneumopathies virales, non classées ailleurs",J12
otherncd,J150,PNEUMOPATHIE DUE A KLEBSIELLA PNEUMONIAE,Pneumopathie due à Klebsiella pneumoniae,"Pneumopathies bactériennes, non classées ailleurs",J15
neo,J159,"PNEUMOPATHIE BACT., SAI","Pneumopathie bactérienne, sans précision","Pneumopathies bactériennes, non classées ailleurs",J15
neo,J180,"BRONCHOPNEUMOPATHIE, SAI","Bronchopneumopathie, sans précision",Pneumopathie à micro-organisme non précisé,J18
neo,J181,"PNEUMOPATHIE LOBAIRE, SAI","Pneumopathie lobaire, sans précision",Pneumopathie à micro-organisme non précisé,J18
neo,J182,"PNEUMOPATHIE HYPOSTATIQUE, SAI","Pneumopathie hypostatique, sans précision",Pneumopathie à micro-organisme non précisé,J18
neo,J188,"PNEUMOPATHIES NCA, MICRO-ORG. SAI","Autres pneumopathies, micro-organisme non précisé",Pneumopathie à micro-organisme non précisé,J18
neo,J189,"PNEUMOPATHIE, SAI","Pneumopathie, sans précision",Pneumopathie à micro-organisme non précisé,J18
otherncd,J210,BRONCHIOLITE AIG. DUE AU VIRUS RESP. SYNCYTIAL,Bronchiolite aiguë due au virus respiratoire syncytial [VRS],Bronchiolite aiguë,J21
neo,J380,PARALYSIE DES CORDES VOCALES ET DU LARYNX,Paralysie des cordes vocales et du larynx,"Maladies des cordes vocales et du larynx, non classées ailleurs",J38
neo,J390,ABCES PARAPHARYNGE ET RETROPHARYNGE,Abcès parapharyngé et rétropharyngé,Autres maladies des voies respiratoires supérieures,J39
neo,J40,"BRONCHITE, SAI","Bronchite, (non précisée comme aiguë ou chronique)","Bronchite, (non précisée comme aiguë ou chronique)",J40
otherncd,J430,SYND. DE MACLEOD,Syndrome de MacLeod,Emphysème,J43
otherncd,J440,MAL. PULM. OBSTRU. CHRON. AVEC INFECT. AIG. DES VOIES RESP. INF.,Maladie pulmonaire obstructive chronique avec infection aiguë des voies respiratoires inférieures,Autres maladies pulmonaires obstructives chroniques,J44
neo,J450,ASTHME A PREDOMINANCE ALLERGIQUE,Asthme à prédominance allergique,Asthme,J45
neo,J47,BRONCHECTASIE,Bronchectasie,Bronchectasie,J47
cvd,J620,PNEUMOCONIOSE DUE A LA POUSSIERE DU TALC,Pneumoconiose due à la poussière du talc,Pneumoconiose due à la poussière de silice,J62
otherncd,J690,PNEUMOPATHIE DUE A DES ALIMENTS ET DES VOMISSEMENTS,Pneumopathie due à des aliments et des vomissements,Pneumopathie due à des substances solides et liquides,J69
otherncd,J700,AFF. PULM. AIG. DUES A UNE IRRAD.,Affections pulmonaires aiguës dues à une irradiation,Affections respiratoires dues à d'autres agents externes,J70
otherncd,J80,SYND. DE DETRESSE RESP. DE L'ADULTE,Syndrome de détresse respiratoire de l'adulte,Syndrome de détresse respiratoire de l'adulte,J80
neo,J81,OEDEME PULM.,Oedème pulmonaire,Oedème pulmonaire,J81
neo,J840,PNEUMOPATHIES ALVEOLAIRES ET PARIETO-ALVEOLAIRES,Pneumopathies alvéolaires et pariéto-alvéolaires,Autres affections pulmonaires interstitielles,J84
neo,J850,GANGRENE ET NECROSE DU POUMON,Gangrène et nécrose du poumon,Abcès du poumon et du médiastin,J85
neo,J851,ABCES DU POUMON AVEC PNEUMOPATHIE,Abcès du poumon avec pneumopathie,Abcès du poumon et du médiastin,J85
neo,J852,ABCES DU POUMON SAI,Abcès du poumon (sans pneumopathie),Abcès du poumon et du médiastin,J85
neo,J860,PYOTHORAX AVEC FISTULE,Pyothorax avec fistule,Pyothorax,J86
neo,J869,PYOTHORAX SANS FISTULE,Pyothorax sans fistule,Pyothorax,J86
neo,J90,"EPANCHEMENT PLEURAL, NCA","Épanchement pleural, non classé ailleurs","Épanchement pleural, non classé ailleurs",J90
neo,J920,PLAQUE PLEURALE AVEC ASBESTOSE,Plaque pleurale avec asbestose,Plaque pleurale,J92
neo,J931,"PNEUMOTHORAX SPONT., NCA",Autres pneumothorax spontanés,Pneumothorax,J93
neo,J938,"PNEUMOTHORAX, NCA",Autres pneumothorax,Pneumothorax,J93
neo,J939,"PNEUMOTHORAX, SAI","Pneumothorax, sans précision",Pneumothorax,J93
neo,J941,FIBROTHORAX,Fibrothorax,Autres affections pleurales,J94
neo,J942,HEMOTHORAX,Hémothorax,Autres affections pleurales,J94
neo,J948,"AFF. PLEURALES PREC., NCA",Autres affections pleurales précisées,Autres affections pleurales,J94
neo,J949,"AFF. PLEURALE, SAI","Affection pleurale, sans précision",Autres affections pleurales,J94
neo,J960,INSUF. RESP. AIG.,Insuffisance respiratoire aiguë,"Insuffisance respiratoire, non classée ailleurs",J96
neo,J961,INSUF. RESP. CHRON.,Insuffisance respiratoire chronique,"Insuffisance respiratoire, non classée ailleurs",J96
neo,J969,"INSUF. RESP., SAI","Insuffisance respiratoire, sans précision","Insuffisance respiratoire, non classée ailleurs",J96
neo,J980,"AFF. DES BRONCHES, NCA","Affections des bronches, non classées ailleurs",Autres troubles respiratoires,J98
neo,J981,COLLAPSUS PULM.,Collapsus pulmonaire,Autres troubles respiratoires,J98
neo,J982,EMPHYSEME INTERST.,Emphysème interstitiel,Autres troubles respiratoires,J98
neo,J984,"AFF. PULM., NCA",Autres affections pulmonaires,Autres troubles respiratoires,J98
neo,J985,"MAL. DU MEDIASTIN, NCA","Maladies du médiastin, non classées ailleurs",Autres troubles respiratoires,J98
neo,J986,MAL. DU DIAPHRAGME,Maladies du diaphragme,Autres troubles respiratoires,J98
neo,J988,"TBL. RESP. PREC., NCA",Autres troubles respiratoires précisés,Autres troubles respiratoires,J98
neo,J989,"TBL. RESP., SAI","Trouble respiratoire, sans précision",Autres troubles respiratoires,J98
neo,K039,"MAL. DES TISSUS DENTAIRES DURS, SAI","Maladie des tissus dentaires durs, sans précision",Autres maladies des tissus dentaires durs,K03
neo,K047,ABCES PERIAPICAL SANS FISTULE OU SAI,Abcès périapical (sans fistule),Maladies de la pulpe et des tissus périapicaux,K04
neo,K049,"MAL. DE LA PULPE ET DES TISSU PERIAPICAUX, NCA OU SAI","Maladies de la pulpe et des tissu périapicaux, autres et sans précision",Maladies de la pulpe et des tissus périapicaux,K04
neo,K088,"AFF. PREC. DES DENTS ET DU PARODONTE, NCA",Autres affections précisées des dents et du parodonte,Autres affections des dents et du parodonte,K08
neo,K089,"AFF. DES DENTS ET DU PARODONTE, SAI","Affection des dents et du parodonte, sans précision",Autres affections des dents et du parodonte,K08
neo,K102,AFF. INFL. DES MACHOIRES,Affections inflammatoires des mâchoires,Autres maladies des mâchoires,K10
neo,K112,SIALOADENITE,Sialoadénite,Maladies des glandes salivaires,K11
neo,K113,ABCES DES GLD. SALIVAIRES,Abcès des glandes salivaires,Maladies des glandes salivaires,K11
neo,K119,"MAL. DES GLD. SALIVAIRES, SAI","Maladie des glandes salivaires, sans précision",Maladies des glandes salivaires,K11
neo,K120,APHTES BUCC. RECIDIVANTS,Aphtes buccaux récidivants,Stomatites et affections apparentées,K12
neo,K121,"STOMATITE, NCA",Autres formes de stomatite,Stomatites et affections apparentées,K12
neo,K122,PHLEGMON ET ABCES DE LA BOUCHE,Phlegmon et abcès de la bouche,Stomatites et affections apparentées,K12
neo,K210,REFLUX GASTRO-OESOPHAGIEN AVEC OESOPHAGITE,Reflux gastro-oesophagien avec oesophagite,Reflux gastro-oesophagien,K21
neo,K220,ACHALASIE DU CARDIA,Achalasie du cardia,Autres maladies de l'oesophage,K22
neo,K250,"ULCERE DE L'ESTOMAC AIG., AVEC HEMORR.","Ulcère de l'estomac aigu, avec hémorragie",Ulcère de l'estomac,K25
neo,K260,"ULCERE DU DUODENUM AIG., AVEC HEMORR.","Ulcère du duodénum aigu, avec hémorragie",Ulcère du duodénum,K26
neo,K270,"ULCERE DIG., DE SIEGE SAI, AIG. AVEC HEMORR.","Ulcère digestif, de siège non précisé, aigu avec hémorragie","Ulcère digestif, de siège non précisé",K27
neo,K280,"ULCERE GASTRO-JEJUNAL AIG., AVEC HEMORR.","Ulcère gastro-jéjunal aigu, avec hémorragie",Ulcère gastro-jéjunal,K28
neo,K290,GASTRITE HEMORR. AIG.,Gastrite hémorragique aiguë,Gastrite et duodénite,K29
neo,K30,DYSPEPSIE FONCTIONNELLE,Dyspepsie fonctionnelle,Dyspepsie fonctionnelle,K30
neo,K310,DILATATION AIG. DE L'ESTOMAC,Dilatation aiguë de l'estomac,Autres maladies de l'estomac et du duodénum,K31
neo,K319,"MAL. DE L'ESTOMAC ET DU DUODENUM, SAI","Maladie de l'estomac et du duodénum, sans précision",Autres maladies de l'estomac et du duodénum,K31
neo,K350,*** SU11 *** APPENDICITE AVEC PERITONITE GENERALISEE,*** SU11 *** Appendicite (aiguë) avec péritonite généralisée,Appendicite aiguë,K35
cvd,K420,"HERNIE OMBILICALE, AVEC OCCLUSION, SANS GANGRENE","Hernie ombilicale, avec occlusion, sans gangrène",Hernie ombilicale,K42
cvd,K430,"EVENTRATION POST-OP, AVEC OCCLUSION, SANS GANGRENE","Éventration post-opératoire, avec occlusion sans gangrène",Autres hernies de la paroi abdominale antérieure,K43
cvd,K440,"HERNIE DIAPHRAGMATIQUE, AVEC OCCLUSION, SANS GANGRENE","Hernie diaphragmatique, avec occlusion, sans gangrène",Hernie diaphragmatique,K44
cvd,K450,"HERNIES ABDO. NCA, AVEC OCCLUSION, SANS GANGRENE","Autres hernies abdominales de siège précisé, avec occlusion, sans gangrène",Autres hernies abdominales,K45
cvd,K460,"HERNIE ABDO. SAI, AVEC OCCLUSION, SANS GANGRENE","Hernie abdominale non précisée, avec occlusion, sans gangrène",Hernie abdominale non précisée,K46
neo,K510,PANCOLITE ULCEREUSE,Pancolite ulcéreuse (chronique),Recto-colite hémorragique [colite ulcéreuse],K51
neo,K550,TBL. VASC. AIG. DE L'INTESTIN,Troubles vasculaires aigus de l'intestin,Troubles vasculaires de l'intestin,K55
cvd,K560,ILEUS PARALYTIQUE,Iléus paralytique,Iléus paralytique et occlusion intestinale sans hernie,K56
digest,K570,"DIVERTICULOSE DE L'INTESTIN GRELE, AVEC PERFO. ET ABCES","Diverticulose de l'intestin grêle, avec perforation et abcès",Diverticulose de l'intestin,K57
neo,K590,CONSTIPATION,Constipation,Autres troubles fonctionnels de l'intestin,K59
neo,K610,ABCES ANAL,Abcès anal,Abcès des régions anale et rectale,K61
neo,K630,ABCES DE L'INTESTIN,Abcès de l'intestin,Autres maladies de l'intestin,K63
digest,K631,PERFO. DE L'INTESTIN,Perforation de l'intestin (non traumatique),Autres maladies de l'intestin,K63
neo,K632,FISTULE DE L'INTESTIN,Fistule de l'intestin,Autres maladies de l'intestin,K63
neo,K633,ULCERE DE L'INTESTIN,Ulcère de l'intestin,Autres maladies de l'intestin,K63
neo,K634,ENTEROPTOSE,Entéroptose,Autres maladies de l'intestin,K63
neo,K638,"MAL. PREC. DE L'INTESTIN, NCA",Autres maladies précisées de l'intestin,Autres maladies de l'intestin,K63
neo,K639,"MAL. DE L'INTESTIN, SAI","Maladie de l'intestin, sans précision",Autres maladies de l'intestin,K63
neo,K650,PERITONITE AIG.,Péritonite aiguë,Péritonite,K65
neo,K658,"PERITONITES, NCA",Autres péritonites,Péritonite,K65
neo,K659,"PERITONITE, SAI","Péritonite, sans précision",Péritonite,K65
neo,K660,ADHERENCES PERIT.,Adhérences péritonéales,Autres maladies du péritoine,K66
neo,K661,HEMOPERITOINE,Hémopéritoine,Autres maladies du péritoine,K66
neo,K669,"MAL. DU PERITOINE, SAI","Maladie du péritoine, sans précision",Autres maladies du péritoine,K66
neo,K700,CIRRHOSE ALCOOLIQUE GRAISSEUSE DU FOIE,Cirrhose alcoolique graisseuse du foie,Maladie alcoolique du foie,K70
neo,K704,INSUF. HEPATIQUE ALCOOLIQUE,Insuffisance hépatique alcoolique,Maladie alcoolique du foie,K70
neo,K709,"MAL. ALCOOLIQUE DU FOIE, SAI","Maladie alcoolique du foie, sans précision",Maladie alcoolique du foie,K70
neo,K711,MAL. TOXIQUE DU FOIE AVEC NECROSE HEPATIQUE,Maladie toxique du foie avec nécrose hépatique,Maladie toxique du foie,K71
neo,K718,MAL. TOXIQUE DU FOIE AVEC D'AUTRES LES. DU FOIE,Maladie toxique du foie avec d'autres lésions du foie,Maladie toxique du foie,K71
neo,K719,"MAL. TOXIQUE DU FOIE, SAI","Maladie toxique du foie, sans précision",Maladie toxique du foie,K71
neo,K720,INSUF. HEPATIQUE AIG. ET SUBAIG.,Insuffisance hépatique aiguë et subaiguë,"Insuffisance hépatique, non classée ailleurs",K72
neo,K721,INSUF. HEPATIQUE CHRON.,Insuffisance hépatique chronique,"Insuffisance hépatique, non classée ailleurs",K72
neo,K729,"INSUF. HEPATIQUE, SAI","Insuffisance hépatique, sans précision","Insuffisance hépatique, non classée ailleurs",K72
neo,K732,"HEPATITE CHRON. NCA, ACTIVE","Hépatite chronique active, non classée ailleurs","Hépatite chronique, non classée ailleurs",K73
neo,K738,"HEPATITES CHRON., NCA","Autres hépatites chroniques, non classées ailleurs","Hépatite chronique, non classée ailleurs",K73
neo,K739,"HEPATITE CHRON., SAI","Hépatite chronique, sans précision","Hépatite chronique, non classée ailleurs",K73
neo,K740,FIBROSE HEPATIQUE,Fibrose hépatique,Fibrose et cirrhose du foie,K74
neo,K750,ABCES DU FOIE,Abcès du foie,Autres maladies inflammatoires du foie,K75
neo,K760,"DEGEN. GRAISSEUSE DU FOIE, NCA","Dégénérescence graisseuse du foie, non classée ailleurs",Autres maladies du foie,K76
neo,K800,CALCUL DE LA VESICULE BIL. AVEC CHOLECYSTITE AIG.,Calcul de la vésicule biliaire avec cholécystite aiguë,Cholélithiase,K80
neo,K810,CHOLECYSTITE AIG.,Cholécystite aiguë,Cholécystite,K81
neo,K830,ANGIOCHOLITE,Angiocholite [cholangite],Autres maladies des voies biliaires,K83
neo,K860,PANCREATITE CHRON. ALCOOLIQUE,Pancréatite chronique alcoolique,Autres maladies du pancréas,K86
neo,K900,MAL. COELIAQUE,Maladie coeliaque,Malabsorption intestinale,K90
neo,K920,HEMATEMESE,Hématémèse,Autres maladies du système digestif,K92
neo,K921,MELAENA,Mélaena,Autres maladies du système digestif,K92
neo,K922,"HEMORR. GASTRO-INTEST., SAI","Hémorragie gastro-intestinale, sans précision",Autres maladies du système digestif,K92
neo,K929,"MAL. DU SYST. DIG., SAI","Maladie du système digestif, sans précision",Autres maladies du système digestif,K92
neo,L120,PEMPHIGOIDE BULLEUX,Pemphigoïde bulleux,Pemphigoïde,L12
otherncd,L279,DERMITE DUE A UNE SUBST. SAI PRISE PAR VOIE INT.,Dermite due à une substance non précisée prise par voie interne,Dermite due à des substances prises par voie interne,L27
neo,L309,"DERMITE, SAI","Dermite, sans précision",Autres dermites,L30
neo,L405,PSORIASIS ARTHROPATHIQUE,"Psoriasis arthropathique (M07.0-M07.3*, M09.0*)",Psoriasis,L40
neo,L409,"PSORIASIS, SAI","Psoriasis, sans précision",Psoriasis,L40
neo,L439,"LICHEN PLAN, SAI","Lichen plan, sans précision",Lichen plan,L43
neo,L509,"URTICAIRE, SAI","Urticaire, sans précision",Urticaire,L50
neo,L539,"ERYTHEME, SAI","Érythème, sans précision",Autres formes d'érythème,L53
neo,L721,KYSTE SEBACE,Kyste sébacé,Kystes folliculaires de la peau et du tissu cellulaire sous-cutané,L72
neo,L732,HIDROSADENITE SUPPUREE,Hidrosadénite suppurée,Autres affections folliculaires,L73
neo,L930,LUPUS ERYTHEMATEUX CHRON. OU SAI,Lupus érythémateux (chronique),Lupus érythémateux,L93
neo,L950,VASCULARITE LIVEDOIDE,Vascularite livédoïde,"Vascularite [angéite] limitée à la peau, non classée ailleurs",L95
neo,L988,"AFF. PREC. DE LA PEAU ET DU TISSU CELL. /S-CUT., NCA",Autres affections précisées de la peau et du tissu cellulaire sous-cutané,"Autres affections de la peau et du tissu cellulaire sous-cutané, non classées ailleurs",L98
neo,L989,"AFF. DE LA PEAU ET DU TISSU CELL. /S-CUT., SAI","Affection de la peau et du tissu cellulaire sous-cutané, sans précision","Autres affections de la peau et du tissu cellulaire sous-cutané, non classées ailleurs",L98
neo,M000,ARTHRITE ET POLYARTHRITE A STAPHYLO.,Arthrite et polyarthrite à staphylocoques,Arthrites à bactéries pyogènes,M00
otherncd,M050,SYND. DE FELTY,Syndrome de Felty,Polyarthrite rhumatoïde séropositive,M05
neo,M060,POLYARTHRITE RHUMATOIDE SERONEGATIVE,Polyarthrite rhumatoïde séronégative,Autres polyarthrites rhumatoïdes,M06
neo,M100,GOUTTE IDIOP.,Goutte idiopathique,Goutte,M10
neo,M109,"GOUTTE, SAI","Goutte, sans précision",Goutte,M10
neo,M130,"POLYARTHRITE, SAI","Polyarthrite, sans précision",Autres arthrites,M13
neo,M139,"ARTHRITE, SAI","Arthrite, sans précision",Autres arthrites,M13
neo,M159,"POLYARTHROSE, SAI","Polyarthrose, sans précision",Polyarthrose,M15
neo,M161,"COXARTHROSES IRE., UNILAT. OU SAI",Autres coxarthroses primaires,Coxarthrose [arthrose de la hanche],M16
neo,M169,"COXARTHROSE, SAI","Coxarthrose, sans précision",Coxarthrose [arthrose de la hanche],M16
neo,M179,"GONARTHROSE, SAI","Gonarthrose, sans précision",Gonarthrose [arthrose du genou],M17
neo,M189,"ARTHROSE DE LA 1ERE ARTIC. CARPO-METACARP., SAI","Arthrose de la première articulation carpo-métacarpienne, sans précision",Arthrose de la première articulation carpo-métacarpienne,M18
neo,M192,AUTRES ARTHROSES IIRES.,Autres arthroses secondaires,Autres arthroses,M19
neo,M199,"ARTHROSE, SAI","Arthrose, sans précision",Autres arthroses,M19
neo,M245,RAIDEUR ARTIC. PAR CONTRACTURE,Raideur articulaire par contracture,Autres lésions articulaires spécifiques,M24
neo,M246,ANKYLOSE ARTIC.,Ankylose articulaire,Autres lésions articulaires spécifiques,M24
neo,M253,"INSTABILITES ARTIC., NCA",Autres instabilités articulaires,"Autres affections articulaires, non classées ailleurs",M25
neo,M255,DOULEUR ARTIC.,Douleur articulaire,"Autres affections articulaires, non classées ailleurs",M25
neo,M256,"RAIDEUR ARTIC., NCA","Raideur articulaire, non classée ailleurs","Autres affections articulaires, non classées ailleurs",M25
neo,M259,"AFF. ARTIC., SAI","Affection articulaire, sans précision","Autres affections articulaires, non classées ailleurs",M25
neo,M300,PERIARTERITE NOUEUSE,Périartérite noueuse,Périartérite noueuse et affections apparentées,M30
neo,M310,ANGEITE D'HYPERSENSIBILITE,Angéite d'hypersensibilité,Autres vasculopathies nécrosantes,M31
otherncd,M350,SYND. DE GOUGEROT-SJOGREN,Syndrome de Gougerot-Sjögren,Autres atteintes systémiques du tissu conjonctif,M35
neo,M45,SPONDYLARTHRITE ANKYLOSANTE,Spondylarthrite ankylosante,Spondylarthrite ankylosante,M45
neo,M462,OSTEOMYELITE VERTEB.,Ostéomyélite vertébrale,Autres spondylopathies inflammatoires,M46
neo,M464,"DISCITE, SAI","Discite, sans précision",Autres spondylopathies inflammatoires,M46
neo,M469,"SPONDYLOPATHIE INFL., SAI","Spondylopathie inflammatoire, sans précision",Autres spondylopathies inflammatoires,M46
neo,M471,"SPONDYLARTHROSES AVEC MYELOPATHIE, NCA",Autres spondylarthroses avec myélopathie,Spondylarthrose,M47
neo,M478,"SPONDYLARTHROSES, NCA",Autres spondylarthroses,Spondylarthrose,M47
neo,M479,"SPONDYLARTHROSE, SAI","Spondylarthrose, sans précision",Spondylarthrose,M47
neo,M480,RETREC. DU CANAL MEDULLAIRE,Rétrécissement du canal médullaire,Autres spondylopathies,M48
neo,M489,"SPONDYLOPATHIE, SAI","Spondylopathie, sans précision",Autres spondylopathies,M48
neo,M502,AUTRE HERNIE D'UN DISQUE CERV.,Autre hernie d'un disque cervical,Atteintes des disques cervicaux,M50
neo,M503,AUTRE DETERIORATION D'UN DISQUE CERV.,Autre détérioration d'un disque cervical,Atteintes des disques cervicaux,M50
neo,M509,"ATTEINTE D'UN DISQUE CERV., SAI","Atteinte d'un disque cervical, sans précision",Atteintes des disques cervicaux,M50
neo,M513,DETERIORATION D'UN AUTRE DISQUE INTERVERTEB. PREC.,Détérioration d'un autre disque intervertébral précisé,Atteintes d'autres disques intervertébraux,M51
neo,M541,RADICULOPATHIE,Radiculopathie,Dorsalgies,M54
neo,M545,LOMBALGIE BASSE,Lombalgie basse,Dorsalgies,M54
neo,M549,"DORSALGIE, SAI","Dorsalgie, sans précision",Dorsalgies,M54
neo,M600,MYOSITE INFECT.,Myosite infectieuse,Myosite,M60
neo,M608,"MYOSITES, NCA",Autres myosites,Myosite,M60
neo,M609,"MYOSITE, SAI","Myosite, sans précision",Myosite,M60
neo,M611,MYOSITE OSSIFIANTE PROGRESSIVE,Myosite ossifiante progressive,Calcification et ossification de muscles,M61
neo,M622,INFARCISSEMENT ISCHEM. MUSC.,Infarcissement ischémique musculaire,Autres atteintes musculaires,M62
neo,M625,"ATROPHIE ET FONTE MUSC., NCA","Atrophie et fonte musculaires, non classées ailleurs",Autres atteintes musculaires,M62
neo,M628,"ATTEINTES MUSC. PREC., NCA",Autres atteintes musculaires précisées,Autres atteintes musculaires,M62
neo,M664,DECHIRURE SPONT. D'AUTRES TENDONS,Déchirure spontanée d'autres tendons,Déchirure spontanée de la synoviale et du tendon,M66
neo,M796,DOULEUR NIV. D'UN MB.,Douleur au niveau d'un membre,"Autres affections des tissus mous, non classées ailleurs",M79
neo,M843,"FRAC. PAR SOLLICITATION EXCESSIVE, NCA","Fracture par sollicitation excessive, non classée ailleurs",Anomalie de la continuité osseuse,M84
neo,M844,"FRAC. PATHO., NCA","Fracture pathologique, non classée ailleurs",Anomalie de la continuité osseuse,M84
neo,M861,"OSTEOMYELITES AIG., NCA",Autres ostéomyélites aiguës,Ostéomyélite,M86
neo,M865,"OSTEOMYELITES HEMATOGENES CHRON., NCA",Autres ostéomyélites hématogènes chroniques,Ostéomyélite,M86
neo,M866,"OSTEOMYELITES CHRON., NCA",Autres ostéomyélites chroniques,Ostéomyélite,M86
neo,M868,"OSTEOMYELITES, NCA",Autres ostéomyélites,Ostéomyélite,M86
neo,M869,"OSTEOMYELITE, SAI","Ostéomyélite, sans précision",Ostéomyélite,M86
neo,M879,"OSTEONECROSE, SAI","Ostéonécrose, sans précision",Ostéonécrose,M87
neo,M911,OSTEOCHONDRITE JUV. DE LA TETE DU FEMUR,Ostéochondrite juvénile de la tête du fémur [Legg-Calvé-Perthes],Ostéochondrite juvénile de la hanche et du bassin,M91
neo,M941,POLYCHONDRITE RECIDIVANTE,Polychondrite récidivante,Autres affections du cartilage,M94
neo,M948,"AFF. PREC. DU CARTILAGE, NCA",Autres affections précisées du cartilage,Autres affections du cartilage,M94
neo,M954,DEFORM. DU THOR. ET DES COTES,Déformation du thorax et des côtes,"Autres déformations du système ostéo-articulaire, des muscles et du tissu conjonctif",M95
digest,N132,HYDRONEPHROSE AVEC OBSTRU. CALCULEUSE RENALE ET URETERALE,Hydronéphrose avec obstruction calculeuse rénale et urétérale,Uropathie obstructive et par reflux,N13
otherncd,N133,"HYDRONEPHROSES, NCA OU SAI","Hydronéphroses, autres et sans précision",Uropathie obstructive et par reflux,N13
otherncd,N134,HYDRO-URETERE,Hydro-uretère,Uropathie obstructive et par reflux,N13
otherncd,N135,"COUDURE ET RETREC. URETERAL, SANS HYDRONEPHROSE","Coudure et rétrécissement urétéral, sans hydronéphrose",Uropathie obstructive et par reflux,N13
otherncd,N136,PYONEPHROSE,Pyonéphrose,Uropathie obstructive et par reflux,N13
otherncd,N137,UROPATHIE ASSOCIEE A UN REFLUX VESICO-URETERAL,Uropathie associée à un reflux vésico-urétéral,Uropathie obstructive et par reflux,N13
otherncd,N138,"UROPATHIES OBSTRU. ET PAR REFLUX, NCA",Autres uropathies obstructives et par reflux,Uropathie obstructive et par reflux,N13
otherncd,N139,"UROPATHIE OBSTRU., SAI","Uropathie obstructive (et par reflux), sans précision",Uropathie obstructive et par reflux,N13
